bin,position_pct,n,benign,attack,benign_pct
1,1.0,86410,6,86404,0.0069
2,3.0,86411,9,86402,0.0104
3,5.0,86411,13,86398,0.015
4,7.0,86411,12,86399,0.0139
5,9.0,86411,82,86329,0.0949
6,11.0,86410,49,86361,0.0567
7,13.0,86411,5,86406,0.0058
8,15.0,86411,1,86410,0.0012
9,17.0,86411,6,86405,0.0069
10,19.0,86411,15,86396,0.0174
11,21.0,86411,19,86392,0.022
12,23.0,86410,24,86386,0.0278
13,25.0,86411,2,86409,0.0023
14,27.0,86411,3,86408,0.0035
15,29.0,86411,5,86406,0.0058
16,31.0,86411,144,86267,0.1666
17,33.0,86410,10,86400,0.0116
18,35.0,86411,19,86392,0.022
19,37.0,86411,7,86404,0.0081
20,39.0,86411,6,86405,0.0069
21,41.0,86411,7,86404,0.0081
22,43.0,86411,3,86408,0.0035
23,45.0,86410,47,86363,0.0544
24,47.0,86411,27,86384,0.0312
25,49.0,86411,6,86405,0.0069
26,51.0,86411,0,86411,0.0
27,53.0,86411,12,86399,0.0139
28,55.0,86410,3,86407,0.0035
29,57.0,86411,30,86381,0.0347
30,59.0,86411,14,86397,0.0162
31,61.0,86411,3,86408,0.0035
32,63.0,86411,6,86405,0.0069
33,65.0,86411,1,86410,0.0012
34,67.0,86410,104,86306,0.1204
35,69.0,86411,64,86347,0.0741
36,71.0,86411,1,86410,0.0012
37,73.0,86411,75,86336,0.0868
38,75.0,86411,56,86355,0.0648
39,77.0,86410,0,86410,0.0
40,79.0,86411,22,86389,0.0255
41,81.0,86411,42,86369,0.0486
42,83.0,86411,0,86411,0.0
43,85.0,86411,0,86411,0.0
44,87.0,86411,0,86411,0.0
45,89.0,86410,8,86402,0.0093
46,91.0,86411,0,86411,0.0
47,93.0,86411,0,86411,0.0
48,95.0,86411,0,86411,0.0
49,97.0,86411,24,86387,0.0278
50,99.0,86411,34798,51613,40.2703
