target,feature,in_source,in_target,used
InSDN,Destination_Port,True,True,True
InSDN,Flow_Duration,True,True,True
InSDN,Total_Fwd_Packets,True,True,True
InSDN,Total_Backward_Packets,True,True,True
InSDN,Total_Length_of_Fwd_Packets,True,True,True
InSDN,Total_Length_of_Bwd_Packets,True,True,True
InSDN,Fwd_Packet_Length_Max,True,True,True
InSDN,Fwd_Packet_Length_Min,True,True,True
InSDN,Fwd_Packet_Length_Mean,True,True,True
InSDN,Fwd_Packet_Length_Std,True,True,True
InSDN,Bwd_Packet_Length_Max,True,True,True
InSDN,Bwd_Packet_Length_Min,True,True,True
InSDN,Bwd_Packet_Length_Mean,True,True,True
InSDN,Bwd_Packet_Length_Std,True,True,True
InSDN,Flow_Bytes_s,True,True,True
InSDN,Flow_Packets_s,True,True,True
InSDN,Flow_IAT_Mean,True,True,True
InSDN,Flow_IAT_Std,True,True,True
InSDN,Flow_IAT_Max,True,True,True
InSDN,Flow_IAT_Min,True,True,True
InSDN,Fwd_IAT_Total,True,True,True
InSDN,Fwd_IAT_Mean,True,True,True
InSDN,Fwd_IAT_Std,True,True,True
InSDN,Fwd_IAT_Max,True,True,True
InSDN,Fwd_IAT_Min,True,True,True
InSDN,Bwd_IAT_Total,True,True,True
InSDN,Bwd_IAT_Mean,True,True,True
InSDN,Bwd_IAT_Std,True,True,True
InSDN,Bwd_IAT_Max,True,True,True
InSDN,Bwd_IAT_Min,True,True,True
InSDN,Fwd_PSH_Flags,True,True,True
InSDN,Bwd_PSH_Flags,True,True,True
InSDN,Fwd_URG_Flags,True,True,True
InSDN,Bwd_URG_Flags,True,True,True
InSDN,Fwd_Header_Length,True,True,True
InSDN,Bwd_Header_Length,True,True,True
InSDN,Fwd_Packets_s,True,True,True
InSDN,Bwd_Packets_s,True,True,True
InSDN,Min_Packet_Length,True,True,True
InSDN,Max_Packet_Length,True,True,True
InSDN,Packet_Length_Mean,True,True,True
InSDN,Packet_Length_Std,True,True,True
