,Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_s,Flow_Packets_s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_s,Bwd_Packets_s,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Header_Length_2,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Protocol,Source_Port,H_src_ip,H_dst_ip,H_dst_port,H_proto,H_pkt_len,H_iat,H_tcp_flags,H_src_port
Destination_Port,1.0,-0.009482444523497571,-0.007107147614017563,-0.017211969458134465,-0.02302305392997224,-0.008192227129141574,-0.05330128213692629,-0.010534526327173539,-0.03135935352778978,-0.048908667083883764,-0.06497291023241496,-0.06253090801487472,-0.06583998457672004,-0.060863392860835516,0.004533394205766216,0.008051272719116967,-0.0008450058484769332,-0.004476120047775355,-0.009535370783765814,-0.001989354609784781,-0.00918886377971032,-0.0017151295456282684,-0.0055219035961120945,-0.009138234719876102,-0.001783302698591045,-0.015699991685528266,-0.0017855246968757788,-0.003529400801596456,-0.0072700124669125826,0.002827701862198243,-0.04974343321554404,0.0,0.0,0.0,-0.02310031806721718,-0.018930616601105784,0.007831085217578124,0.00810726778370627,-0.011262401781029148,-0.06519869200405866,-0.049601892393333846,-0.06569674595850297,-0.0468859418142754,0.0,0.00039342675526063875,-0.04974343321554404,0.0,0.07979670979651073,-0.034628085626524516,-0.0007607904412398653,0.0,-0.00723072811004241,-0.041930324977085306,-0.03135935352778978,-0.06583998457672004,-0.02310031806721718,0.0,0.0,0.0,0.0,0.0,0.0,-0.007107147614017563,-0.02302305392997224,-0.017211969458134465,-0.008192227129141574,-0.01929767833338405,-0.02145543777652018,-0.013433085050290056,-0.056743447183628094,-0.014074726277366122,-0.006106928659998754,-0.009602376917571813,-0.014693058371496565,-0.012065208895707334,-0.00020652380259956576,-0.008785271225940331,-0.015951890414791253,-0.07509059390627039,0.10764594011551157,-0.10369121410875982,-0.10483728064677075,0.10656016329126863,-0.10545575030267569,-0.10537019640587918,-0.02102004690559409,-0.03733355213981455,0.09428110381245175
Flow_Duration,-0.00948244452349757,1.0,0.11571538584746444,0.16528935437470604,0.08242604144900993,0.02008743745466191,0.09370430844847337,-0.010301586435243681,0.02581904591085099,0.08478257237834005,0.11317652306469345,0.11926638816375151,0.0983626983236717,0.09278375984661633,-0.1340520278272788,-0.3071544723431451,0.8890202858254468,0.9030468292852285,0.9328970491002883,0.006554151484248474,0.9999105355099198,0.9321087300993677,0.9083414698668302,0.9329148393205302,0.006600582449583836,0.6962434973521175,0.6557466409766992,0.6529808941290867,0.6783298600405419,-0.004279344048456953,0.0011758599389698945,0.0,0.0,0.0,0.453086890737992,0.14412453942894035,-0.302098305695077,-0.14437044792164627,-0.010462243686406704,0.10335501222195385,0.04462129350727301,0.09090257875311954,0.0679530129559209,0.0,-0.005187063095687799,0.0011758599389698945,0.0,0.008611649360650826,-0.01326784529451381,-0.016301173829009998,0.0,-0.23543694940694038,0.009674009705561907,0.02581904591085099,0.0983626983236717,0.453086890737992,0.0,0.0,0.0,0.0,0.0,0.0,0.11571538584746444,0.08242604144900993,0.16528935437470604,0.02008743745466191,0.047555135352510575,0.005280263945065445,0.5678116687361022,-0.012702944128757472,0.2479663819411005,0.3146989210849712,0.3224770452724998,0.03276514465285337,0.913507600117749,0.7940752988753742,0.9330791440166645,0.8294824914656976,-0.026512071933944812,-0.004221427853096705,0.037490893664493034,0.03776895790764577,-0.03345089256065197,0.035129906933207944,0.036867344939290614,0.46663232590043086,0.012275688999432896,-0.0413420508076049
Total_Fwd_Packets,-0.007107147614017564,0.11571538584746444,1.0,0.19686475754349606,0.06550868045697364,0.17498844976874126,0.05675015856739648,-0.00135344378340012,0.01575138607798692,0.03988937390154769,0.06380184418728917,0.011645681175449266,0.07178354616690608,0.053237720441145824,-0.015458801695665107,-0.03551611418658472,0.08355916780326335,0.08703196368728568,0.09878892928968103,6.439749324178425e-05,0.11560422027594715,0.08984665571442386,0.08862794941655684,0.09861593070904696,7.923257577801824e-05,0.10089849344191693,0.07216899159584947,0.0728859952320786,0.0835385681616505,-0.0016359595131988046,0.0013677427121463913,0.0,0.0,0.0,0.20373084299216226,0.18535772253105195,-0.03492832651182111,-0.01684862477780913,-0.0028489194275558576,0.06194360293202189,0.051155125562539754,0.06250528203983259,0.06281781836073806,0.0,-0.0005479652996634863,0.0013677427121463913,0.0,-0.01775672382348768,-0.0012078589626973793,-0.003293869257301751,0.0,-0.024943508833612765,0.03748231680837792,0.01575138607798692,0.07178354616690608,0.20373084299216226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06550868045697364,0.19686475754349606,0.17498844976874126,0.023597384417471716,0.00415380470363866,0.18873420441737984,-0.027001922667365917,0.3686918574983678,0.04754833584032562,0.17711618319142,0.5336622331379735,0.09871631095412427,0.07660584362503543,0.09852647024224744,0.09305918141130737,-0.017845922158916172,-0.002328388882169519,0.023909455294707244,0.02383596525669192,-0.022785482194102584,0.02282877019976641,0.02371473345592023,0.05513695640104208,0.007943239425744313,-0.023473859147568187
Total_Backward_Packets,-0.017211969458134465,0.16528935437470604,0.19686475754349603,1.0,0.2839417033407471,0.9637093772797917,0.23835303183217382,-0.00480938676497222,0.05508899189325883,0.14838082098906602,0.27360403675945294,0.07478198701180579,0.3425228761110573,0.21622485794742552,-0.05735656751396897,-0.13126094634883434,0.08038143264829002,0.10195107164605448,0.14994349332669066,-0.0007528644677153659,0.1645770603205661,0.10571383202287502,0.11244953027274154,0.14870641326240522,-0.00073498065199463,0.21511853882436033,0.12575382407401817,0.12935843525818363,0.1705022029740052,0.0263097608979101,0.0016118992337955293,0.0,0.0,0.0,0.9119786633601775,0.9735582553481817,-0.13118249216773792,0.04099983453930941,-0.007729089224603707,0.260427664238604,0.24062610063471307,0.2673067423132654,0.2829429758229824,0.0,-0.002024166538591432,0.0016118992337955293,0.0,-0.008304314580522283,0.004139803165605142,0.004543724664403073,0.0,0.08949448010715184,0.18241124914449813,0.05508899189325883,0.3425228761110573,0.9119786633601775,0.0,0.0,0.0,0.0,0.0,0.0,0.19686475754349603,0.2839417033407471,1.0,0.9637093772797917,0.12910849837430374,0.023771289761653245,0.7741786251281059,0.060940515668810195,0.1176126218914499,0.10427336523954206,0.11547055180045511,0.059855341782546714,0.15347075227374316,0.10576792904965296,0.14963367906529726,0.15164951861469234,0.0019162909020286572,0.005916863396766604,0.09945997880344504,0.09917541874413019,-0.09636869556365706,0.09521786846059993,0.09926982031198477,0.08274027728723295,0.032545385522270896,-0.09566742218176301
Total_Length_of_Fwd_Packets,-0.02302305392997224,0.08242604144900995,0.06550868045697364,0.2839417033407471,1.0,0.20948666466219526,0.6044781421125451,0.17960259617645272,0.47510192428104986,0.5545151272664331,0.3131814855777285,0.005154748146794141,0.25476006616668356,0.2927287043883329,0.03316566295927615,-0.02415822570199199,0.027170706023397797,0.04120092652295334,0.07870355102505068,0.009659359076934514,0.0819092063403068,0.03229816163570425,0.04719524375449217,0.07791885904370023,0.009661137399964577,0.116782013677836,0.027334985909937933,0.037236196599168776,0.06899615840941212,-0.0026595717973454704,0.027919084156090464,0.0,0.0,0.0,0.321903255455455,0.26934808915725267,-0.02375083547622904,-0.011834071354821717,0.04841079159276149,0.4489990099689992,0.38694798768613803,0.45826489295573286,0.4853317136708676,0.0,-0.0002579696408429438,0.027919084156090464,0.0,-0.053020036853360784,0.04277238145475921,-0.001505682702850726,0.0,-0.002840892142884093,0.3202837410676709,0.47510192428104986,0.25476006616668356,0.321903255455455,0.0,0.0,0.0,0.0,0.0,0.0,0.06550868045697364,0.9999999999999999,0.2839417033407471,0.20948666466219526,0.12286692922240193,0.09676100455826503,0.29806197504136,0.10970325751997152,0.0579238813046502,0.03780647849407932,0.04558513847986734,0.043193449230851534,0.08870024613198915,0.0394799170586639,0.07782016926009336,0.09953582782717804,0.032357098362777045,0.009289225121826346,0.17383228514229163,0.176660831092041,-0.17058031475952715,0.1632725077468581,0.1749274662835593,0.04923387377647843,0.06911479562748048,-0.16276705949253795
Total_Length_of_Bwd_Packets,-0.008192227129141574,0.02008743745466191,0.17498844976874123,0.9637093772797918,0.20948666466219526,1.0,0.1411323455644335,-0.0021482230068653636,0.015965619923045,0.05893246001358692,0.17930587282201949,-0.0004756952875988846,0.2736822389959074,0.13354343940426575,-0.002077921330088789,-0.00482601899629657,-0.0004932437791130026,0.002776966379446975,0.024716686247363475,-2.7936663363947003e-05,0.019489921772640303,7.474188639445871e-05,0.0042095467350702735,0.023434883560705,-2.724453081193965e-05,0.03649915960135934,0.000552733269083133,0.003167600005738288,0.023195541492065277,-0.0005930101420852551,-2.663387741046073e-05,0.0,0.0,0.0,0.841022930554989,0.9447732511742378,-0.004754779234781441,-0.001863794683717526,-0.0022279199546640866,0.1677847619179371,0.1995223347635619,0.18433518817349118,0.22622185515513074,0.0,-7.928471789672535e-05,-2.663387741046073e-05,0.0,-0.0006426720152755768,0.00045261149073090004,0.0006552767818739225,0.0,0.006290046132255031,0.15710212486018954,0.015965619923045,0.2736822389959074,0.841022930554989,0.0,0.0,0.0,0.0,0.0,0.0,0.17498844976874123,0.20948666466219526,0.9637093772797918,1.0,0.08136390428483084,0.0058121026485112495,0.6801958429988683,0.03299955929515709,0.0406209212606329,0.01819496413777942,0.022696518413114087,0.03830322132133201,0.032830404265608064,0.0005072354131421759,0.024497149156918304,0.043365586357781816,0.000495130090110577,0.0033559870717770786,0.04877834231488675,0.047780168894354984,-0.045384056635858795,0.04570252750418209,0.04856742226510712,0.0096825811376697,0.01554678166274244,-0.04938322519227884
Fwd_Packet_Length_Max,-0.05330128213692629,0.09370430844847338,0.05675015856739648,0.23835303183217382,0.6044781421125451,0.1411323455644335,1.0,0.3008582597734749,0.6994010328150077,0.9174009804037514,0.6485275039861463,0.017013456204399594,0.4758196068000937,0.6260642535539551,0.25381559012643656,-0.02850335157971642,0.00505956041831791,0.031436517640420276,0.08959942912544228,0.0359426678775246,0.09267241787600256,0.012619168527476896,0.04252573083019422,0.08812339750945539,0.035935921895347916,0.17284826484723298,0.01504710349837161,0.03381620330547836,0.08158509308528075,-0.004973567307210747,0.08287007262278649,0.0,0.0,0.0,0.2894001507967104,0.23785050308196368,-0.027942376909843268,-0.017923414892342424,0.2744840341740057,0.8116569695275528,0.6797553484184932,0.7631930839089422,0.685915089138866,0.0,0.00025285423936218676,0.08287007262278649,0.0,-0.14728629070840685,0.057824839564268066,-0.0007875724246849895,0.0,0.006046692248849342,0.6251834326905265,0.6994010328150077,0.4758196068000937,0.2894001507967104,0.0,0.0,0.0,0.0,0.0,0.0,0.05675015856739648,0.6044781421125451,0.23835303183217382,0.1411323455644335,0.25182199216451645,0.15004148590997884,0.23932742605544086,0.2591728837677117,0.06084564862042995,0.027947419214668826,0.03891214352343979,0.05877473258768537,0.11108036018702334,0.019234953435824344,0.08737022196515441,0.139543585132455,0.16203813830051308,0.03341401524635818,0.38723859565498736,0.3864150493442695,-0.3735019018206019,0.3858816900694237,0.3937297242148998,0.07619051978391732,0.15002550294215708,-0.38949675426975905
Fwd_Packet_Length_Min,-0.010534526327173539,-0.010301586435243681,-0.00135344378340012,-0.004809386764972219,0.17960259617645272,-0.0021482230068653636,0.3008582597734749,1.0,0.843439608642841,0.01237977232976586,-0.00872943731878362,0.08320141078058789,0.011303856819964738,-0.015319217418524699,0.7082885945205626,-0.0067947446410274535,-0.003975757341992183,-0.010866539179005682,-0.010773357435203754,0.09164571323933311,-0.01029465558809791,-0.006247032222600047,-0.011359836180903768,-0.010843933949979203,0.09162129788925669,-0.011255471094974785,-0.007506612886639512,-0.00785280394984163,-0.009018975109707103,-0.0051402352392104925,0.010419120341242257,0.0,0.0,0.0,0.003669794624895774,-0.004966061005030566,-0.006445866431106143,-0.014883696637983878,0.970213152409907,0.1633849701327529,0.6747869812288656,0.016679152402182835,0.017871268148419665,0.0,0.0025009502622607795,0.010419120341242257,0.0,-0.35438131556168645,0.002979227166037491,-0.0012477192138597682,0.0,-0.0122128085546038,0.7801733491669921,0.843439608642841,0.011303856819964738,0.003669794624895774,0.0,0.0,0.0,0.0,0.0,0.0,-0.00135344378340012,0.17960259617645272,-0.004809386764972219,-0.0021482230068653636,-0.17917464420071966,-0.005919876528377788,-0.00028828120331195233,0.26839619541081605,0.011689993145863789,-0.0021154668272281058,0.002547397791147385,0.019300514525309877,-0.012479109985117113,-0.00810684802612687,-0.011616492986578885,-0.012786808552933286,0.5508714679957952,0.03331628461228404,0.2686460805084022,0.24844428503665333,-0.21006570325495377,0.28326561583134496,0.27118835590583773,0.04007239665335808,0.11184081520507988,-0.3558689248703174
Fwd_Packet_Length_Mean,-0.03135935352778978,0.02581904591085099,0.015751386077986918,0.05508899189325883,0.47510192428104986,0.015965619923044995,0.6994010328150077,0.843439608642841,1.0,0.5173311341765949,0.25927488070779336,0.0668501364219113,0.2067269454857692,0.25818656689233305,0.6602103382915611,-0.0172795900551947,-0.0014627900408911878,0.003888230260898275,0.026243652166878847,0.08906558569178713,0.02524679587664656,-0.00045536221517406114,0.007721704171314895,0.025244937902272148,0.08904194394460534,0.05433276040534291,-0.0001378408646326378,0.0071574261205915694,0.024001162548662015,-0.0061833941755882246,0.0994018675163908,0.0,0.0,0.0,0.0932475172890854,0.05769687487077787,-0.016767619154734067,-0.019343228776891652,0.8058552513080164,0.4929851764582633,0.8282911745260627,0.3976923590144512,0.37642821550018574,0.0,0.001838617482595423,0.0994018675163908,0.0,-0.3425722037308654,0.06404265894162739,0.00011817269080200794,0.0,-0.008586765393234367,0.8791007309926558,1.0,0.2067269454857692,0.0932475172890854,0.0,0.0,0.0,0.0,0.0,0.0,0.015751386077986918,0.47510192428104986,0.05508899189325883,0.015965619923044995,-0.014537524435678892,0.0887335485602192,0.06936378360989323,0.3175975506869348,0.035390846146536085,0.010356472633796661,0.019130999809366982,0.04085020684867062,0.032321722862840414,0.002297379853348991,0.024476979615374,0.042553713373409366,0.4600904686756242,0.03672489246299904,0.38438871544653525,0.3706181688651082,-0.33668378826861595,0.391370454099686,0.38959721530908664,0.06666097672793152,0.15407044669029668,-0.4453294437495651
Fwd_Packet_Length_Std,-0.048908667083883764,0.08478257237834005,0.03988937390154769,0.14838082098906602,0.554515127266433,0.058932460013586915,0.9174009804037514,0.012379772329765861,0.5173311341765949,1.0,0.6111691691732665,-0.006054831398047487,0.44845918238422816,0.6103332397692274,0.1127474707715934,-0.02469500977936666,0.005419612647978096,0.030695478479415627,0.08062972584208616,0.020635819619033508,0.08367245218456486,0.012746451551159794,0.04064227161633515,0.07891037420557113,0.02063128068951594,0.15559566249405984,0.0153291256698645,0.03217146748740382,0.07273700808161546,-0.0037052376434335605,0.13754150169091456,0.0,0.0,0.0,0.20995801688129334,0.15532213805573494,-0.024237199735141962,-0.014137241008573028,-0.013127480490302084,0.7566733375248895,0.5158507916269425,0.787208197324513,0.7142078086978915,0.0,-0.0005155829770622813,0.13754150169091456,0.0,-0.06790558182713877,0.09133042060710488,0.0008516461764429458,0.0,0.005939786018995326,0.437784200816702,0.5173311341765949,0.44845918238422816,0.20995801688129334,0.0,0.0,0.0,0.0,0.0,0.0,0.03988937390154769,0.554515127266433,0.14838082098906602,0.058932460013586915,0.3002540037176308,0.1830077433263889,0.15933350064905244,0.18542824598229213,0.04918020572951957,0.023834955052456124,0.03361585661596756,0.04722043679554516,0.09892178078707865,0.01908666064272451,0.07853289881737548,0.12353915493249361,-0.0018634766356513228,0.021188671393069604,0.322643933357938,0.3284785294499879,-0.326226553729045,0.31542111355113467,0.32939342629623586,0.06721508016535103,0.12248155379841018,-0.29907145168209504
