aggregation,eviction,capacity,occupancy,peak_occupancy,installs,hits,evictions,overflows,timeouts,hit_rate,flows,rule_installs_per_1k_flows
exact,hard,1024,1024,1024,38221,1779,37197,37197,0,0.044475,40000,955.52
exact,idle,1024,1024,1024,38222,1778,37198,37198,0,0.04445,40000,955.55
exact,lru,1024,1024,1024,38222,1778,37198,37198,0,0.04445,40000,955.55
exact,lfu,1024,1024,1024,38326,1674,37302,37302,0,0.04185,40000,958.15
prefix24,hard,1024,1024,1024,38221,1779,37197,37197,0,0.044475,40000,955.52
prefix24,idle,1024,1024,1024,38222,1778,37198,37198,0,0.04445,40000,955.55
prefix24,lru,1024,1024,1024,38222,1778,37198,37198,0,0.04445,40000,955.55
prefix24,lfu,1024,1024,1024,38326,1674,37302,37302,0,0.04185,40000,958.15
prefix16,hard,1024,1024,1024,38221,1779,37197,37197,0,0.044475,40000,955.52
prefix16,idle,1024,1024,1024,38222,1778,37198,37198,0,0.04445,40000,955.55
prefix16,lru,1024,1024,1024,38222,1778,37198,37198,0,0.04445,40000,955.55
prefix16,lfu,1024,1024,1024,38326,1674,37302,37302,0,0.04185,40000,958.15
noport,hard,1024,3,3,3,39997,0,0,0,0.999925,40000,0.07
noport,idle,1024,3,3,3,39997,0,0,0,0.999925,40000,0.07
noport,lru,1024,3,3,3,39997,0,0,0,0.999925,40000,0.07
noport,lfu,1024,3,3,3,39997,0,0,0,0.999925,40000,0.07
victim,hard,1024,1024,1024,38221,1779,37197,37197,0,0.044475,40000,955.52
victim,idle,1024,1024,1024,38222,1778,37198,37198,0,0.04445,40000,955.55
victim,lru,1024,1024,1024,38222,1778,37198,37198,0,0.04445,40000,955.55
victim,lfu,1024,1024,1024,38326,1674,37302,37302,0,0.04185,40000,958.15
victim_service,hard,1024,3,3,3,39997,0,0,0,0.999925,40000,0.07
victim_service,idle,1024,3,3,3,39997,0,0,0,0.999925,40000,0.07
victim_service,lru,1024,3,3,3,39997,0,0,0,0.999925,40000,0.07
victim_service,lfu,1024,3,3,3,39997,0,0,0,0.999925,40000,0.07
exact,hard,4096,4096,4096,36538,3462,32442,32442,0,0.08655,40000,913.45
exact,idle,4096,4096,4096,36532,3468,32436,32436,0,0.0867,40000,913.3
exact,lru,4096,4096,4096,36532,3468,32436,32436,0,0.0867,40000,913.3
exact,lfu,4096,4096,4096,36477,3523,32381,32381,0,0.088075,40000,911.92
