model,protocol,status,score_file,n_train,n_test,train_capped_to,train_benign,test_benign,accuracy,macro_f1,avg_precision,roc_auc,precision,recall,fpr,fnr,train_time_s,peak_rss_gb,batch_throughput_flows_per_s,exact_per_prediction_explanation,hardware,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_mean_ms
Majority baseline,A,ok,scores/E1_A_Majority_baseline_score.npy,2513556,1077238,,582,30432,0.9717499754000509,0.4928363065925188,0.9717499754000509,0.5,0.9717499754000509,1.0,1.0,0.0,0.05,1.505,63672945.9,False,CPU only,0.005799998689326458,0.006299998858594336,0.00650000038149301,0.005820050008878752
Decision Tree,A,ok,scores/E1_A_Decision_Tree_score.npy,2513556,1077238,,582,30432,0.9771424699091565,0.6681117004605062,0.9776901436164508,0.6075342396615256,0.9776944480532529,0.9992758925722627,0.7842074132492114,0.0007241074277373267,10.91,1.507,11775512.3,False,CPU only,0.0304000004689442,0.03541500036590149,0.08480299997245311,0.03217450000283861
Naive Bayes,A,ok,scores/E1_A_Naive_Bayes_score.npy,2513556,1077238,,582,30432,0.9858954102993025,0.8958986643486528,0.9995516333602574,0.9921659227503465,0.9997936122507117,0.985688847790326,0.006999211356466877,0.014311152209674,2.908,1.506,2260330.9,False,CPU only,0.1534000002720859,0.16920499874686357,0.21108300048581433,0.1632699500050876
Logistic Regression,A,ok,scores/E1_A_Logistic_Regression_score.npy,2513556,1077238,,582,30432,0.9834976114841846,0.8087298615235239,0.9501144208547275,0.5881678639165685,0.98532190225732,0.9978830843537388,0.5113367507886435,0.002116915646261103,35.993,1.521,3236091.8,False,CPU only,0.10859999929380137,0.1576299995576846,0.26260799868396134,0.11667345000296336
Linear SVM,A,ok,scores/E1_A_Linear_SVM_score.npy,300000,1077238,300000.0,49,30432,0.9964102640270767,0.9682525887382638,0.9936531748491166,0.9655336446873326,0.999042051178009,0.9972621479051514,0.03289300736067297,0.0027378520948485204,6.444,1.526,3309851.0,False,CPU only,0.11809999887191225,0.15740999979243497,0.24286200068672764,0.12495425003180571
XGBoost,A,ok,scores/E1_A_XGBoost_score.npy,2513556,1077238,,582,30432,0.9951542741715387,0.9580185554266822,0.9992338802205728,0.9865110473276916,0.999037940041817,0.9959725106657776,0.03299158780231336,0.004027489334222387,13.256,1.649,1260009.6,True,CPU only,0.41679999958432745,0.49810000018624123,0.6140190004953183,0.36227039999812405
LightGBM,A,ok,scores/E1_A_LightGBM_score.npy,2513556,1077238,,582,30432,0.9975929181852107,0.9788758513066754,0.999986665114641,0.9995360632899222,0.9998918079466584,0.9976308886269281,0.0037131966351209252,0.0023691113730719923,5.867,1.682,764705.5,True,CPU only,0.2550999997765757,0.29391500047495356,0.3653520003535959,0.26097930003925285
XAI-SDN (Random Forest),A,ok,scores/E1_A_XAI-SDN_Random_Forest_score.npy,2513556,1077238,,582,30432,0.9975789936857036,0.9788131108748039,0.999991896953794,0.9997281264377706,0.9999722290319615,0.9975363152293739,0.000952944269190326,0.002463684770626076,53.302,1.625,27647.3,True,CPU only,7.048049999866635,7.977374999791209,9.111463999488473,7.221695099978206
Majority baseline,B,ok,scores/E1_B_Majority_baseline_score.npy,100000,40000,,31,1174,0.97065,0.4925532184812118,0.97065,0.5,0.97065,1.0,1.0,0.0,0.001,1.668,73139513.5,False,CPU only,0.006000000212225132,0.0073999999585794285,0.008501999254804103,0.006208900002093287
Decision Tree,B,ok,scores/E1_B_Decision_Tree_score.npy,100000,40000,,31,1174,0.979575,0.7427832095585096,0.9804704897421663,0.6706300314573446,0.9804818850656082,0.9988409828465461,0.6575809199318569,0.0011590171534538712,0.274,1.67,10808765.9,False,CPU only,0.030199998946045525,0.043599999207799556,0.10892899974351164,0.034334300008595164
