feature,vif
Fwd_IAT_Total,100559.44077659259
Flow_Duration,100355.0749136188
Fwd_IAT_Max,42658.412083320436
Flow_IAT_Max,42495.344449510376
Fwd_Packet_Length_Min,2012.8402432193277
Min_Packet_Length,1961.3784554431736
Fwd_IAT_Std,1959.0783099048185
Flow_IAT_Std,1786.9141884251783
Packet_Length_Mean,1250.9246470276132
Average_Packet_Size,1242.3819999682032
Idle_Max,941.2253183009808
H_dst_ip,777.9867393202798
Fwd_IAT_Mean,586.0827730036195
Bwd_IAT_Std,527.084300532553
Packet_Length_Std,471.9877733883806
Flow_IAT_Mean,412.99463967832895
H_src_ip,364.7181054877232
Idle_Mean,351.88614244103195
H_pkt_len,326.8666080343432
Bwd_IAT_Mean,285.5029357643275
Fwd_Packet_Length_Std,213.8975109213884
Bwd_IAT_Max,188.74470474604877
Max_Packet_Length,182.10197461849484
Active_Std,168.71827363640878
Bwd_Packet_Length_Std,166.35103236908964
Idle_Min,153.66131465594663
Bwd_Packet_Length_Max,149.65117718795594
Bwd_Header_Length,125.39652226152205
Active_Min,120.74895228405963
Fwd_IAT_Min,111.98362009509718
Flow_IAT_Min,111.58852879537228
Active_Mean,108.69613668594599
Active_Max,89.97422571069593
Fwd_Packet_Length_Max,84.6672627196278
H_dst_port,74.96869015121223
H_proto,69.10594235478125
Bwd_IAT_Total,58.87898799210532
Idle_Std,52.045528909653385
Fwd_Packet_Length_Mean,50.72392159845178
Avg_Fwd_Segment_Size,50.723921597506255
act_data_pkt_fwd,50.29516849830381
ACK_Flag_Count,45.33454092264625
Total_Backward_Packets,31.303284209946863
Subflow_Bwd_Packets,31.303284209118797
Packet_Length_Variance,29.494952848460244
URG_Flag_Count,27.34788201521664
Fwd_Header_Length_2,22.80431120920594
Fwd_Header_Length,22.80431120027998
Bwd_Packet_Length_Mean,21.260732057229127
Avg_Bwd_Segment_Size,21.260732056030676
Protocol,18.069868577296603
H_src_port,15.248487426747815
Down_Up_Ratio,14.808074535754734
Bwd_Packet_Length_Min,12.584141781588347
Flow_Bytes_s,10.030186981685944
CWE_Flag_Count,4.68278101196608
min_seg_size_forward,2.8959092580268053
Total_Length_of_Bwd_Packets,2.6082942577883528
Subflow_Bwd_Bytes,2.608294255503898
Init_Win_bytes_forward,2.165646389601846
Init_Win_bytes_backward,1.7463832403097501
Subflow_Fwd_Bytes,1.7166431652710656
Total_Length_of_Fwd_Packets,1.7166431652054797
SYN_Flag_Count,1.5782940401691998
Bwd_Packets_s,1.5469720773381848
H_iat,1.3598562334362958
H_tcp_flags,1.2135020834310182
Flow_Packets_s,1.17996422551084
Fwd_Packets_s,1.1642020874112227
Bwd_IAT_Min,1.0804842821562828
Destination_Port,1.0340621214912042
Source_Port,1.0283175195592689
Fwd_PSH_Flags,0.8630146140978298
RST_Flag_Count,0.8630146140926921
Total_Fwd_Packets,0.8118493629193634
Subflow_Fwd_Packets,0.8118493531136984
