feature,auc,best_stump_bacc,constant
H_dst_ip,0.9986365352153873,0.9850499525294608,False
H_src_ip,0.9984418259152273,0.9852674192707098,False
H_pkt_len,0.9962119520034209,0.9853097851423775,False
H_proto,0.9918591983528623,0.9854939644130303,False
H_dst_port,0.9910644292147748,0.9848809039272608,False
H_src_port,0.9880233566463958,0.9847499789095722,False
H_iat,0.9517247804751421,0.8705443610744483,False
H_tcp_flags,0.9453789370113781,0.9244370203214842,False
ACK_Flag_Count,0.8884837534764025,0.8884837534764025,False
Packet_Length_Std,0.8366739448584787,0.8338046400675474,False
Packet_Length_Variance,0.8366739448584787,0.8338046400675474,False
Destination_Port,0.8329413512173108,0.8934377006553935,False
Flow_Duration,0.7784804504540489,0.814121330317188,False
Flow_IAT_Max,0.7731441323378002,0.815488670860953,False
Fwd_Packets_s,0.7715214666112218,0.8220707714079092,False
Flow_Packets_s,0.7662712444980551,0.8180365614286105,False
Flow_Bytes_s,0.7632638992805977,0.8181955229185087,False
Flow_IAT_Mean,0.7631218200378469,0.8170798027980852,False
Max_Packet_Length,0.7588096033566352,0.8244519106559598,False
Average_Packet_Size,0.7567606013200214,0.7943332753199007,False
Packet_Length_Mean,0.7449718034515319,0.8002377784196941,False
Fwd_Packet_Length_Max,0.7438379940411339,0.8055814665754522,False
Flow_IAT_Std,0.7415621595266709,0.7947400919696832,False
URG_Flag_Count,0.7380987861939956,0.7380987861939956,False
Avg_Fwd_Segment_Size,0.7370649099780404,0.8032393530987523,False
Fwd_Packet_Length_Mean,0.7370649099780404,0.8032393530987523,False
Bwd_IAT_Total,0.6998305903829005,0.7182644612995477,False
Bwd_IAT_Max,0.6966355723152519,0.7168759378199487,False
Bwd_IAT_Mean,0.6922001924133256,0.7123599581997542,False
Subflow_Fwd_Bytes,0.6905443445725119,0.7634091567346237,False
Total_Length_of_Fwd_Packets,0.6905443445725119,0.7634091567346237,False
Bwd_Header_Length,0.6894486470663195,0.6132602241423819,False
Bwd_Packet_Length_Max,0.6893595674458612,0.5841195953151836,False
Bwd_Packet_Length_Mean,0.6892129109247769,0.5837722122674763,False
Avg_Bwd_Segment_Size,0.6892129109247769,0.5837722122674763,False
Init_Win_bytes_forward,0.6870450199586435,0.8429188702443939,False
Fwd_Packet_Length_Std,0.6863966279487197,0.5557947195294918,False
Subflow_Bwd_Bytes,0.6858092788534381,0.7332950879310165,False
Total_Length_of_Bwd_Packets,0.6858092788534381,0.7332950879310165,False
Flow_IAT_Min,0.6818666882603444,0.7031593984137049,False
min_seg_size_forward,0.6723631074625589,0.6754869158435762,False
Total_Backward_Packets,0.6668558076534594,0.613239041206548,False
Subflow_Bwd_Packets,0.6668558076534594,0.613239041206548,False
Bwd_IAT_Min,0.6641577506327507,0.6558814763575683,False
Down_Up_Ratio,0.6373912925830155,0.6102090988018007,False
Protocol,0.6369907529297025,0.6434554631304047,False
Fwd_IAT_Total,0.6288744222245508,0.6971331014922779,False
Fwd_IAT_Max,0.6221266919009742,0.69471755953801,False
Fwd_IAT_Mean,0.6127924465737056,0.6873067211869215,False
CWE_Flag_Count,0.6123311996977459,0.6123311996977459,False
Fwd_Header_Length_2,0.6100927381913279,0.5991197891428542,False
Fwd_Header_Length,0.6100927381913279,0.5991197891428542,False
Source_Port,0.6100525102828789,0.6764608837698184,False
Fwd_IAT_Std,0.6086255149120421,0.5381167562046847,False
Bwd_Packet_Length_Std,0.5990407601921431,0.5575467654364809,False
Bwd_IAT_Std,0.5914297498953627,0.5660802489278418,False
RST_Flag_Count,0.5871820491509933,0.5871820491509931,False
Fwd_PSH_Flags,0.5871820491509933,0.5871820491509931,False
Init_Win_bytes_backward,0.5841490745387963,0.5573101331818584,False
Bwd_Packet_Length_Min,0.5601079559014213,0.5581287633163502,False
Min_Packet_Length,0.5594189659509529,0.7045071216498586,False
Bwd_Packets_s,0.5584871242164984,0.6738228917885298,False
Fwd_Packet_Length_Min,0.5556148171197008,0.7028970965840899,False
Fwd_IAT_Min,0.552143495338761,0.6424081190543656,False
Total_Fwd_Packets,0.5511560044213901,0.5948454853334331,False
Subflow_Fwd_Packets,0.5511560044213901,0.5948454853334331,False
Active_Min,0.5368141937038294,0.5751632184007975,False
Active_Mean,0.5342518496918638,0.5693147312455301,False
Active_Max,0.5339674632067883,0.5693197748016811,False
Idle_Min,0.5308095011436785,0.5414961761696194,False
Idle_Mean,0.527706869624736,0.5376001484157621,False
Idle_Max,0.5274721884484355,0.5374833453552961,False
act_data_pkt_fwd,0.5232993309003026,0.6409695188322593,False
Active_Std,0.518874578675242,0.5483918527536739,False
Idle_Std,0.5055250791037513,0.5386436179006794,False
SYN_Flag_Count,0.5011779102747259,0.5,False
Fwd_URG_Flags,0.5,0.5,True
Bwd_PSH_Flags,0.5,0.5,True
FIN_Flag_Count,0.5,0.5,True
Bwd_URG_Flags,0.5,0.5,True
ECE_Flag_Count,0.5,0.5,True
PSH_Flag_Count,0.5,0.5,True
Bwd_Avg_Bytes_Bulk,0.5,0.5,True
Fwd_Avg_Bulk_Rate,0.5,0.5,True
Bwd_Avg_Bulk_Rate,0.5,0.5,True
Bwd_Avg_Packets_Bulk,0.5,0.5,True
Fwd_Avg_Bytes_Bulk,0.5,0.5,True
Fwd_Avg_Packets_Bulk,0.5,0.5,True
