condition,train,test,accuracy,macro_f1,avg_precision,roc_auc,precision,recall,fpr,fnr,n,n_benign,n_attack,fpr_lo95,fpr_hi95,fnr_lo95,fnr_hi95
in-distribution held-out,SYN_0311,SYN_0311,0.9923611111111111,0.9758724069616118,0.9999395811239311,0.9993445100649648,0.9991547249957279,0.9925037890269779,0.009202657807308971,0.007496210973022128,360000,30100,329900,0.008215236825753994,0.010224103945919397,0.007212907832038639,0.007802722425521119
zero-shot,SYN_0311,LDAP_0311,0.9998683333333334,0.9691798306431824,0.9999999903936319,0.9999912644853368,0.9999274228868172,0.9999407696113068,0.06738962044926414,5.923038869316907e-05,1200000,1291,1198709,0.053778856435954966,0.08140133166657985,4.711290184536436e-05,7.424744789739327e-05
zero-shot,SYN_0311,NetBIOS_0311,0.99987,0.9566341422733717,0.9999999865137474,0.9999820835816625,0.9999958299521196,0.999874079886722,0.006045949214026602,0.00012592011327806747,1200000,827,1199173,0.0012161658141517477,0.011877962085308055,0.0001059091643137767,0.00014676551324146255
zero-shot,SYN_0311,Portmap_0311,0.9989442428241504,0.9896343371132827,0.9999981119184242,0.9999315488016847,0.9997966618656274,0.9991194649055964,0.0076677316293929714,0.0008805350944035221,181860,4695,177165,0.005125246948862782,0.010252505439500762,0.0007481172353079206,0.0010222245459597576
zero-shot,SYN_0311,SYN_0112,0.9652766666666667,0.49947052491065164,0.9999988612862327,0.9970219149564932,0.999996545720839,0.9652696966766807,0.011235955056179775,0.03473030332331925,1200000,356,1199644,0.0026666666666666666,0.022535211267605635,0.03442229905104479,0.035038970139436014
leave-one-vector-out,LDAP_0311+NetBIOS_0311+Portmap_0311,SYN_0311,0.9325008333333333,0.6966219886289351,0.9999649429504645,0.9986986666703143,0.9999935695217378,0.9307494927540569,0.00022989260731058492,0.0692505072459431,1200000,30449,1169551,9.817251370272941e-05,0.00039943260821382806,0.06880670482394231,0.06972059570936882
leave-one-vector-out,SYN_0311+NetBIOS_0311+Portmap_0311,LDAP_0311,0.999855,0.9662949802786118,0.9999999917436638,0.9999924159952773,0.9999282560292048,0.9999265876872535,0.06661502711076685,7.341231274646307e-05,1200000,1291,1198709,0.05342321804348999,0.08039761618689435,5.9626697344629213e-05,8.843148130760367e-05
leave-one-vector-out,SYN_0311+LDAP_0311+Portmap_0311,NetBIOS_0311,0.9999225,0.9733635530729465,0.9999999999687068,0.9999999601700515,1.0,0.9999224465527493,0.0,7.75534472507303e-05,1200000,827,1199173,0.0,0.0,6.337803729611416e-05,9.299845484805623e-05
leave-one-vector-out,SYN_0311+LDAP_0311+NetBIOS_0311,Portmap_0311,0.9968987132959419,0.9708668545541973,0.9999999784286026,0.9999991957101414,0.9999943375820343,0.9968221714221206,0.00021299254526091586,0.003177828577879378,181860,4695,177165,0.0,0.0006513678871752328,0.0029123111454437845,0.0034424602652579663
cross-day,SYN_0311,SYN_0112,0.9652766666666667,0.49947052491065164,0.9999988612862327,0.9970219149564932,0.999996545720839,0.9652696966766807,0.011235955056179775,0.03473030332331925,1200000,356,1199644,0.0026666666666666666,0.022535211267605635,0.03442229905104479,0.035038970139436014
