case,test_index,true_label,score,feature,value,shap_value
true_positive,0,DDoS,1.0,H_src_ip,0.0,0.088340884294538
true_positive,0,DDoS,1.0,H_dst_ip,0.0,0.079917308797445
true_positive,0,DDoS,1.0,ACK_Flag_Count,1.0,0.0468064239398837
true_positive,0,DDoS,1.0,Destination_Port,23001.0,0.02982376977312137
true_positive,0,DDoS,1.0,Init_Win_bytes_forward,5840.0,0.026766845766601613
true_positive,0,DDoS,1.0,Packet_Length_Std,0.0,0.01704184629410219
true_positive,0,DDoS,1.0,URG_Flag_Count,0.0,0.015702110091079337
true_positive,0,DDoS,1.0,Flow_Bytes_s,12000000.0,0.015670434345522784
true_positive,0,DDoS,1.0,Packet_Length_Variance,0.0,0.012687738304257158
true_positive,0,DDoS,1.0,Fwd_Packets_s,2000000.0,0.01211527372376155
false_positive,1064476,Benign,0.78,ACK_Flag_Count,0.0,-0.08349284552451296
false_positive,1064476,Benign,0.78,Destination_Port,53.0,-0.061317295355334686
false_positive,1064476,Benign,0.78,Flow_Bytes_s,58000000.0,0.056498108953980324
false_positive,1064476,Benign,0.78,H_src_ip,2.6495659351348877,-0.044004045238283995
false_positive,1064476,Benign,0.78,H_dst_ip,4.154701232910156,-0.042936913887465525
false_positive,1064476,Benign,0.78,H_src_port,8.35684585571289,0.04264430306412556
false_positive,1064476,Benign,0.78,Packet_Length_Std,0.0,0.040399536578367895
false_positive,1064476,Benign,0.78,Init_Win_bytes_forward,-1.0,-0.036188310920296125
false_positive,1064476,Benign,0.78,H_proto,1.099048137664795,0.03549021360766891
false_positive,1064476,Benign,0.78,Packet_Length_Variance,0.0,0.03409274140817865
false_negative,1071640,DDoS,0.125,ACK_Flag_Count,0.0,-0.09124287269438877
false_negative,1071640,DDoS,0.125,H_src_ip,2.741645574569702,-0.07174057859724914
false_negative,1071640,DDoS,0.125,H_dst_ip,4.260995388031006,-0.06362489418380685
false_negative,1071640,DDoS,0.125,Init_Win_bytes_forward,235.0,-0.05168605330634878
false_negative,1071640,DDoS,0.125,URG_Flag_Count,1.0,-0.04544793758017889
false_negative,1071640,DDoS,0.125,H_src_port,8.285161018371582,0.030913168515688795
false_negative,1071640,DDoS,0.125,Subflow_Fwd_Bytes,0.0,-0.02971479619638684
false_negative,1071640,DDoS,0.125,H_proto,1.0846644639968872,0.02295646049213749
false_negative,1071640,DDoS,0.125,H_iat,4.810101509094238,0.018538090582369854
false_negative,1071640,DDoS,0.125,act_data_pkt_fwd,0.0,-0.01653481079368748
borderline,1045492,DDoS,0.7,ACK_Flag_Count,0.0,-0.050414048677815154
borderline,1045492,DDoS,0.7,H_src_ip,3.587942361831665,-0.04215518200656241
borderline,1045492,DDoS,0.7,H_dst_ip,4.6771626472473145,-0.036897740697711616
borderline,1045492,DDoS,0.7,Flow_Duration,111809192.0,0.03367331611693592
borderline,1045492,DDoS,0.7,Active_Std,4357061.0,0.028773231754455897
borderline,1045492,DDoS,0.7,Bwd_IAT_Max,11790559.0,0.027032188284121975
borderline,1045492,DDoS,0.7,H_tcp_flags,0.06722154468297958,0.026750989510751656
borderline,1045492,DDoS,0.7,Bwd_IAT_Total,111809048.0,0.025442003093824012
borderline,1045492,DDoS,0.7,Init_Win_bytes_forward,-1.0,-0.024383728729568482
borderline,1045492,DDoS,0.7,Idle_Std,2360264.25,0.02281414616720255
