variant,seed,n_features,accuracy,macro_f1,avg_precision,roc_auc,fpr,fnr,fit_seconds
natural,42,88,0.9975789936857036,0.9788131108748039,0.999991896953794,0.9997281264377706,0.000952944269190326,0.002463684770626076,93.8
natural,123,88,0.9976857481819245,0.9797060737358052,0.9999884613910681,0.9996094024301238,0.0012486855941114617,0.0023452292019724764,58.6
natural,456,88,0.9976708953824504,0.9795808344424163,0.9999884073781836,0.9996066683798395,0.0012486855941114617,0.0023605137914761666,58.5
natural,789,88,0.9975771370857693,0.9787890790169256,0.9999935305593342,0.9997831369062932,0.0013801261829652998,0.002453176615342289,58.7
natural,1024,88,0.9975511446866895,0.9785746385170111,0.9999910075989135,0.9996979104687913,0.0011829652996845426,0.0024856563680376305,64.3
scrambled,42,88,0.9976532576830747,0.9794353419856832,0.9999979147299956,0.9999295870849663,0.001084384858044164,0.002383440675731702,75.8
scrambled,123,88,0.9975650691861966,0.9786967914846944,0.9999976687605997,0.9999212045151092,0.0009200841219768665,0.002478969360129766,79.9
scrambled,456,88,0.9975901332853093,0.9789047902443476,0.9999984828344538,0.9999489716983023,0.0010515247108307045,0.0024493554679663665,76.6
scrambled,789,88,0.9975492880867552,0.9785544607513672,0.999998462625086,0.9999482505559303,0.0014129863301787593,0.0024808799338177276,82.5
scrambled,1024,88,0.9975641408862295,0.9786876923878689,0.9999982592165454,0.9999413981338523,0.0009858044164037854,0.0024780140732857856,116.0
cic_only,42,80,0.997857483675845,0.9811661473999915,0.9999983326978269,0.999943968135469,0.0008215036803364879,0.002180919864807806,66.3
cic_only,123,80,0.9981601094651321,0.9837434515619274,0.9999977621881349,0.9999244930536563,0.0009200841219768665,0.0018666304931381746,65.1
cic_only,456,80,0.9980505700690098,0.9828064132162202,0.9999978962561878,0.9999291503909293,0.000952944269190326,0.0019783990538839095,64.8
cic_only,789,80,0.998045000269207,0.9827583520504766,0.9999980853223331,0.9999355991735528,0.0009858044164037854,0.001983175488103813,65.2
cic_only,1024,80,0.9981424717657565,0.9835904002327516,0.9999983000669866,0.9999427561184249,0.0010515247108307045,0.0018809597957978842,82.4
entropy_only,42,8,0.969224999489435,0.493179206303687,0.998800426141241,0.9596656590746033,0.9989156151419558,0.0026299046814787074,43.3
entropy_only,123,8,0.9689316566998194,0.4931239380023923,0.9988673406531949,0.9619347500599105,0.9988827549947423,0.002932730611020571,24.2
entropy_only,456,8,0.9688666757021197,0.49313475030802567,0.9992869277803194,0.9761468549986755,0.998849894847529,0.0030005559769431967,20.8
entropy_only,789,8,0.9688787436016925,0.49319765317095615,0.9990590628091207,0.968161958369838,0.998784174553102,0.00299004782165941,19.1
entropy_only,1024,8,0.9687487816062932,0.4931004138923403,0.9987360988022244,0.957459799464714,0.998849894847529,0.003121877406128738,19.5
